Molecule,Round,Cation Angle,Cation Bond Length,Neutral Angle,Neutral Bond Length
110-115_AB3,commonHexamers,172.23479064592192,1.397181416633155,170.05573685754797,1.4171949760799794
110-176_AB3,commonHexamers,172.82052744522872,1.3966232969114971,170.97121690706098,1.4156596168672324
110-261_AB3,commonHexamers,173.52270100664828,1.3990218267717567,170.00933892936555,1.417353579904082
110-283_AB3,commonHexamers,173.15792660788014,1.394610772104306,169.58861400743504,1.4128343420106908
115-147_AB3,commonHexamers,176.59421682986437,1.4021629407654879,172.84179190428046,1.4213413469890939
115-161_AB3,commonHexamers,175.97965258246745,1.4017475875684524,173.92210736285176,1.421665761399458
115-175_AB3,commonHexamers,174.08686838112285,1.4008537950318642,163.97964775998057,1.4229233537834411
115-213_AB3,commonHexamers,171.51524374380642,1.397682172727247,169.16881087137045,1.4177030596922524
115-247_AB3,commonHexamers,174.2286720423258,1.4040238851350226,170.93961257609976,1.4224852634932592
115-258_AB3,commonHexamers,172.42344967310848,1.395982845150644,170.50632392147634,1.4147317574393734
115-261_AB3,commonHexamers,179.95107703741843,1.3981499280017193,179.93268302671987,1.4159764624512425
115-283_AB3,commonHexamers,179.92998293922565,1.3959702369269686,179.90456453959217,1.4141284922673636
124-176_AB3,commonHexamers,179.71485835723016,1.4050967302204078,179.58632839262594,1.4237637489599417
149-238_AB3,commonHexamers,170.77933479850782,1.4065630277977572,161.5035918568511,1.4292767263242148
154-213_AB3,commonHexamers,168.21332487199152,1.4044500673034215,162.039125871218,1.424754152369974
158-161_AB3,commonHexamers,175.18600711230096,1.403380082163796,173.18870370424577,1.422949086557199
158-176_AB3,commonHexamers,179.999443419071,1.3997194987000312,179.999066703514,1.4192819327320294
158-184_AB3,commonHexamers,178.66395684549911,1.399339509187374,178.4143524765103,1.4192711757716736
158-283_AB3,commonHexamers,179.9709239667415,1.3991161319842416,176.81345849956648,1.417998282377799
161-213_AB3,commonHexamers,172.46578237672736,1.3981344099223456,169.51819233503284,1.4186613397069643
175-176_AB3,commonHexamers,174.12872048829053,1.4006763563086229,165.23878501532414,1.421854420599094
176-179_AB3,commonHexamers,174.37906587491614,1.405293947686416,167.5982703391026,1.4261872578036978
176-213_AB3,commonHexamers,171.22852918478856,1.3984311312605768,168.42578952911302,1.4195041513152031
176-217_AB3,commonHexamers,173.2468547235472,1.4063337327060044,168.26021994913964,1.4260134407954976
176-238_AB3,commonHexamers,179.3091611236492,1.399433021840632,179.05254474324508,1.4189142430372854
176-252_AB3,commonHexamers,173.18707671797196,1.4051054924574664,167.71387555904695,1.4270368617910347
176-258_AB3,commonHexamers,172.21752387949536,1.3979389726523657,169.49381618838748,1.418928585378077
176-261_AB3,commonHexamers,179.99136847683587,1.3997157672954608,179.99169421407436,1.4173944110660766
176-273_AB3,commonHexamers,175.65597752983254,1.40433511926773,166.64348995831165,1.4271256656355629
176-283_AB3,commonHexamers,179.613969170386,1.397659655413233,177.28705956425102,1.4170360893763165
197-258_AB3,commonHexamers,172.55028887429256,1.4003902480540777,170.61487250126177,1.4192493573554184
197-283_AB3,commonHexamers,179.97642275550518,1.4003497921025962,178.07427113205884,1.4197180999422303
213-261_AB3,commonHexamers,173.6928025472742,1.3980231906931573,171.36007934931416,1.4153002151342682
219-261_AB3,commonHexamers,179.697215523787,1.3998371355708232,179.33677048747705,1.417004102778783
222-258_AB3,commonHexamers,173.92478660204256,1.400263930937011,171.63046641026835,1.4185404483634882
236-258_AB3,commonHexamers,175.48870455010484,1.3949901715417778,172.93692282275444,1.4120799834866762
236-283_AB3,commonHexamers,179.99055504084637,1.394555984080321,176.594484768882,1.4136857493406652
238-238_AB3,commonHexamers,179.1870717936637,1.3999381244137734,176.6290224009328,1.41928046497241
238-261_AB3,commonHexamers,179.11652695375375,1.400966732451298,174.55101259698284,1.4207872177106737
238-283_AB3,commonHexamers,179.19569704582153,1.39544424396888,178.27802955772123,1.4142279337504737
252-258_AB3,commonHexamers,167.33767232467275,1.4047696371289131,163.3779396398832,1.4249782381768201
258-261_AB3,commonHexamers,175.593179372576,1.3977003000137267,173.6919514890066,1.414572252441792
283-283_AB3,commonHexamers,176.20885925723323,1.3948410988640698,172.2055836079405,1.4164826397183965
36-44_AB3,commonHexamers,179.98595422657556,1.4046238573457424,177.61678562491892,1.4240582623795182
37-115_AB3,commonHexamers,179.82138933824913,1.399747346121798,179.75687371414213,1.4169222675888935
37-184_AB3,commonHexamers,177.18458484798379,1.4017935459354345,174.72974398429557,1.4195736986488083
37-236_AB3,commonHexamers,179.93725278307642,1.400030242408898,168.98993220308301,1.419733990876432
37-261_AB3,commonHexamers,178.46467354873167,1.4008614759794942,165.73722007662167,1.4218964058962835
37-309_AB3,commonHexamers,177.30371715173425,1.4071815678287312,168.2230984895735,1.4268889972110632
37-37_AB3,commonHexamers,177.9832136510994,1.402277225378877,165.61450862928584,1.4230469506282006
37-43_AB3,commonHexamers,179.99582847450625,1.4076995392357483,179.9805117211296,1.4253410898795966
37-44_AB3,commonHexamers,179.9907402222475,1.4022887587772497,175.36322059067115,1.4208840326503414
37-46_AB3,commonHexamers,179.99630543817324,1.4042851630717164,179.98982647100075,1.4218630096931908
37-78_AB3,commonHexamers,179.98714208700667,1.4021146330498824,174.65995376612722,1.419484634740685
37-80_AB3,commonHexamers,179.99207040040383,1.4018111757665221,172.28437690604432,1.4209072347173963
39-213_AB3,commonHexamers,169.71971438338963,1.4060390608632871,165.21660242814983,1.4267405896411258
42-283_AB3,commonHexamers,179.99502310397665,1.401040543641269,179.9426328044492,1.4206467577104105
42-44_AB3,commonHexamers,179.99239497733103,1.4045231580761093,177.31073196392532,1.4234415494123231
42-46_AB3,commonHexamers,179.98526886514418,1.406686545182512,175.54261817854427,1.42750395564611
