Molecule,DFT λ,GFN2 λ,Length,Monomer 1,Monomer 2,SMILES,Monomer 1 DFT λ,Monomer 2 DFT λ
42-49_AB,0.36853167903609574,0.009160402798002565,2,42.0,49.0,c1sc(c2c1CCCC2)c1scc(c1)c1ccc(N)cc1,0.30487507916404866,0.2849448893175577
39-49_AB,0.3049955439637415,0.005996305685997072,2,39.0,49.0,c1sc(c(c1)O)c1scc2c1n(C(F)(F)F)cc2,0.1721043912548339,0.2849448893175577
23-49_AB,0.33744920234312303,0.009861832122005865,2,23.0,49.0,c1sc(c(c1OC)C#N)c1scc2c1cc(F)c(F)c2,0.007840770118491491,0.2849448893175577
10-49_AB,0.37445287642185576,0.009745940765995442,2,10.0,49.0,c1sc(c2c1[nH]cc2)c1scc2c1NCCN2,0.5317172667237173,0.2849448893175577
4-49_AB,0.331913862406509,0.00821382255999481,2,4.0,49.0,c1sc(c2c1[nH]cc2)c1scc2c1oc(=O)c(=O)o2,0.3890188587247394,0.2849448893175577
20-49_AB,0.3415363523818087,0.00760178886699947,2,20.0,49.0,c1sc(c2c1OCO2)c1scc2c1sc(=S)s2,0.2830258880276233,0.2849448893175577
36-49_AB,0.31599955596902873,0.00785222953799547,2,36.0,49.0,c1sc(c2c1SCS2)[C]1S[CH]c2c1nsn2,0.26587787180687883,0.2849448893175577
21-49_AB,0.3199359549325891,0.006854077580996432,2,21.0,49.0,c1sc(c(c1C#N)C(F)(F)F)c1scc2c1[s@@](=O)cc2,0.28949485058547,0.2849448893175577
3-49_AB,0.3502894386110711,0.008457188035997376,2,3.0,49.0,c1sc(c(c1)OC)c1scc2c1sc(=S)s2,0.44830566389646265,0.2849448893175577
37-49_AB,0.2882453037891537,0.0066749371849965655,2,37.0,49.0,c1sc(c2c1onn2)c1scc2c1[s@@](=O)cc2,0.18006151725785458,0.2849448893175577
