Molecule,Neutral Energy,Neutral@Cation Energy,Cation Energy,Cation@Neutral Energy,λ0,λ1,DFT λ
47-47_AB3,-172814.2664913715,-172814.24084817857,-172809.18525746738,-172809.1594833877,0.025643192930147052,0.02577407969511114,0.05141727262525819
47-116_AB3,-182657.55987218866,-182657.52067963078,-182652.67757391778,-182652.63570865768,0.03919255788787268,0.04186526010744274,0.08105781799531542
47-156_AB3,-156849.01964114103,-156848.9777971058,-156844.35340752607,-156844.30926113552,0.04184403523686342,0.04414639054448344,0.08599042578134686
47-247_AB3,-156570.5013685804,-156570.45939474684,-156565.83667404138,-156565.79021196195,0.04197383354767226,0.046462079422781244,0.0884359129704535
47-217_AB3,-152112.30911795772,-152112.26744426574,-152107.3202702433,-152107.26813350167,0.04167369197239168,0.05213674163678661,0.09381043360917829
47-147_AB3,-150431.15399680202,-150431.10859977623,-150426.5226348491,-150426.4737841543,0.04539702579495497,0.04885069478768855,0.09424772058264352
47-282_AB3,-151541.73528347482,-151541.69260595486,-151536.36560480745,-151536.31200137213,0.042677519959397614,0.05360343531356193,0.09628095527295955
47-240_AB3,-153262.7359837855,-153262.69062159027,-153257.4860031029,-153257.4347844734,0.045362195232883096,0.051218629523646086,0.09658082475652918
47-261_AB3,-149740.10142684093,-149740.0535021496,-149734.90338044727,-149734.85443206364,0.04792469134554267,0.0489483836281579,0.09687307497370057
47-213_AB3,-184259.15025695245,-184259.10372167442,-184254.3446022687,-184254.29402092984,0.04653527803020552,0.050581338873598725,0.09711661690380424
47-110_AB3,-186877.30546458517,-186877.2583429018,-186872.22403666386,-186872.17252143027,0.047121683368459344,0.05151523358654231,0.09863691695500165
47-154_AB3,-150330.1421147569,-150330.09491388834,-150325.36348886977,-150325.3109681755,0.04720086854649708,0.052520694269333035,0.09972156281583011
47-258_AB3,-197096.86525505641,-197096.77991171737,-197092.13099651632,-197092.11652550174,0.08534333904390223,0.014471014583250508,0.09981435362715274
47-201_AB3,-153539.58994844355,-153539.5440259659,-153534.88838955274,-153534.83434202764,0.04592247764230706,0.054047525103669614,0.09997000274597667
47-106_AB3,-156472.84761227117,-156472.8015039398,-156467.73818465098,-156467.68238389635,0.04610833138576709,0.055800754635129124,0.10190908602089621
47-252_AB3,-147221.38187497147,-147221.33573126528,-147216.66076959856,-147216.60391794026,0.0461437061894685,0.05685165830072947,0.10299536449019797
47-283_AB3,-143518.0037142044,-143517.95126126645,-143513.0068810369,-143512.95463517765,0.05245293793268502,0.05224585926043801,0.10469879719312303
47-149_AB3,-176517.17395150478,-176517.11940138543,-176512.30637268844,-176512.249795593,0.05455011935555376,0.056577095441753045,0.1111272147973068
47-175_AB3,-165225.150814924,-165225.0966555601,-165220.19816542667,-165220.139745032,0.05415936390636489,0.05842039466369897,0.11257975857006386
47-236_AB3,-158904.1724896623,-158904.11661407634,-158898.88478529238,-158898.8278884632,0.05587558596744202,0.05689682919182815,0.11277241515927017
47-78_AB3,-146630.49388874395,-146630.4403900725,-146625.43849204993,-146625.3781693073,0.053498671448323876,0.060322742618154734,0.11382141406647861
47-83_AB3,-160212.65997296045,-160212.60851568708,-160207.58043514192,-160207.51786283412,0.051457273366395384,0.06257230779738165,0.11402958116377704
47-145_AB3,-171525.3771659633,-171525.32380362085,-171520.2048169132,-171520.1411066253,0.05336234244168736,0.06371028791181743,0.11707263035350479
47-179_AB3,-180776.1944690187,-180776.13871561186,-180770.87027091606,-180770.8081157588,0.05575340683571994,0.06215515726944432,0.11790856410516426
47-257_AB3,-160705.90108681496,-160705.84794678952,-160700.46180033617,-160700.3968611821,0.053140025440370664,0.06493915407918394,0.1180791795195546
