Molecule,Neutral Energy,Neutral@Cation Energy,Cation Energy,Cation@Neutral Energy,λ0,λ1,DFT λ
47-261_ABAB,-99837.27892384538,-99837.20187372016,-99831.64655980031,-99831.56840625343,0.07705012522637844,0.0781535468850052,0.15520367211138364
47-283_ABAB,-95689.1915128344,-95689.10895730174,-95683.72236893547,-95683.63915243828,0.08255553265917115,0.08321649719437119,0.16577202985354234
78-261_ABAB,-82381.61986707427,-82381.5355721899,-82375.889185846,-82375.80385420786,0.08429488437832333,0.08533163813990541,0.16962652251822874
47-110_ABAB,-124595.40545994473,-124595.32269896612,-124589.87902220245,-124589.79068969277,0.08276097860652953,0.08833250968018547,0.171093488286715
47-309_ABAB,-118494.94555962387,-118494.86143780388,-118488.99503870422,-118488.90797043548,0.08412181999301538,0.08706826873822138,0.17119008873123676
47-236_ABAB,-105946.63532337424,-105946.5495204349,-105940.91031925722,-105940.82351194568,0.08580293934210204,0.08680731154163368,0.17261025088373572
43-261_ABAB,-98966.05633803089,-98965.96893723901,-98960.3090434357,-98960.22170795116,0.08740079187555239,0.08733548453892581,0.1747362764144782
46-261_ABAB,-99837.17911411771,-99837.09100991153,-99831.03525685151,-99830.94756653049,0.08810420618101489,0.0876903210155433,0.1757945271965582
47-106_ABAB,-104325.92342949101,-104325.83761811613,-104320.34597502771,-104320.2553393464,0.08581137488363311,0.09063568130659405,0.17644705619022716
158-261_ABAB,-86661.47957646985,-86661.38996502507,-86655.95676273986,-86655.86566773037,0.08961144478234928,0.091095009498531,0.18070645428088028
56-261_ABAB,-88639.5990728644,-88639.50863256081,-88632.82009234714,-88632.72870018933,0.09044030358199961,0.09139215781760868,0.1818324613996083
42-261_ABAB,-81388.40987584484,-81388.31841783546,-81382.62433102202,-81382.5328466176,0.09145800938131288,0.0914844044164056,0.18294241379771847
43-283_ABAB,-94817.93300064457,-94817.84119106409,-94812.33872165401,-94812.24712187331,0.0918095804809127,0.0915997807023814,0.1834093611832941
47-158_ABAB,-102044.20823992137,-102044.11901732726,-102038.83846465357,-102038.74412904023,0.08922259410610422,0.0943356133357156,0.18355820744181983
56-283_ABAB,-84491.53702422483,-84491.44279337532,-84484.85273742277,-84484.76231208546,0.0942308495141333,0.09042533731553704,0.18465618682967033
47-238_ABAB,-106323.14646623898,-106323.05650159041,-106317.8100194756,-106317.7147613963,0.08996464856318198,0.09525807929458097,0.18522272785776295
47-176_ABAB,-99904.23498850671,-99904.14491011454,-99898.76891105877,-99898.67353542628,0.0900783921679249,0.09537563248886727,0.18545402465679217
78-236_ABAB,-88490.99438557598,-88490.90133651691,-88485.1695287373,-88485.07538550845,0.09304905906901695,0.09414322885277215,0.1871922879217891
37-110_ABAB,-104192.46373652053,-104192.37370057813,-104187.24920220445,-104187.15196585744,0.09003594239766244,0.09723634700640105,0.18727228940406349
46-283_ABAB,-95689.11137911501,-95689.01663723568,-95683.0973552582,-95683.00352876987,0.09474187933665235,0.09382648832979612,0.18856836766644847
47-292_ABAB,-125876.89680650721,-125876.80387690612,-125871.24427039029,-125871.14849393412,0.09292960108723491,0.095776456175372,0.18870605726260692
47-201_ABAB,-102370.29266771111,-102370.22009902888,-102365.13129110784,-102365.01415480285,0.07256868222611956,0.11713630499434657,0.18970498722046614
197-283_ABAB,-81386.44485519818,-81386.35430251157,-81380.48387313365,-81380.38415565257,0.09055268661177251,0.09971748107636813,0.19027016768814065
158-283_ABAB,-82513.45536716601,-82513.36433800806,-82508.10970553919,-82508.01002941941,0.09102915794937871,0.09967611977481283,0.19070527772419155
115-261_ABAB,-86660.84539473272,-86660.75059761429,-86655.26008788006,-86655.16407958286,0.09479711843596306,0.09600829720147885,0.1908054156374419
47-297_ABAB,-124604.21850945395,-124604.12347069841,-124598.18664118716,-124598.09014743887,0.09503875553491525,0.09649374829314183,0.1915325038280571
42-283_ABAB,-77240.28192476816,-77240.18608354888,-77234.65479320033,-77234.55896123292,0.09584121928492095,0.0958319674100494,0.19167318669497035
46-309_ABAB,-118494.86527324861,-118494.76842656864,-118488.39064037225,-118488.29505548421,0.09684667996771168,0.09558488804032095,0.19243156800803263
47-247_ABAB,-104390.93707283307,-104390.8459511564,-104385.823154518,-104385.72127209912,0.0911216766689904,0.10188241887954064,0.19300409554853104
47-249_ABAB,-123922.22170367221,-123922.12613946483,-123916.5298569,-123916.43235660257,0.09556420738226734,0.09750029743008781,0.19306450481235515
44-213_ABAB,-103320.52056710699,-103320.42522929833,-103315.42057340189,-103315.32165811243,0.09533780865604058,0.09891528946172912,0.1942530981177697
46-236_ABAB,-105946.49301898711,-105946.39543977665,-105940.25624980722,-105940.15922979073,0.09757921045820694,0.09702001648838632,0.19459922694659326
238-283_ABAB,-86792.2773486236,-86792.18182468906,-86786.94731803269,-86786.84779592935,0.0955239345348673,0.09952210333722178,0.19504603787208907
44-236_ABAB,-86417.33535871329,-86417.23819175533,-86411.8248888839,-86411.72697796667,0.09716695795941632,0.09791091723309364,0.19507787519250996
54-283_ABAB,-83410.86374909137,-83410.76698023597,-83404.51432831486,-83404.41583779514,0.0967688553937478,0.09849051972560119,0.195259375119349
176-261_ABAB,-84521.64719948405,-84521.55383395657,-84516.02548053281,-84515.92309116582,0.09336552748573013,0.10238936699170154,0.19575489447743166
176-236_ABAB,-90631.03267437783,-90630.93763698287,-90625.31883563634,-90625.2177143199,0.09503739495994523,0.10112131644564215,0.19615871140558738
176-283_ABAB,-80373.52102639928,-80373.42485945972,-80368.06529363147,-80367.9648768178,0.09616693956195377,0.10041681367147248,0.19658375323342625
44-309_ABAB,-98965.67300880066,-98965.57706227333,-98959.88726996069,-98959.78640551971,0.09594652733358089,0.10086444097396452,0.1968109683075454
47-257_ABAB,-107147.91783978858,-107147.82761146169,-107142.05490306555,-107141.94809320907,0.0902283268951578,0.10680985648650676,0.19703818338166457
54-261_ABAB,-87558.9645421173,-87558.87017303395,-87552.49964220916,-87552.39693419686,0.09436908335192129,0.1027080123021733,0.1970770956540946
110-261_ABAB,-109212.62995508709,-109212.53540940184,-109206.98959552076,-109206.8869669657,0.0945456852496136,0.10262855506152846,0.19717424031114206
161-261_ABAB,-81509.06798632423,-81508.97805242454,-81503.5402837968,-81503.43281025464,0.08993389968236443,0.10747354215709493,0.19740744183945935
197-297_ABAB,-110301.82020761532,-110301.72066047751,-110295.35612459294,-110295.2569970547,0.09954713781189639,0.09912753824028187,0.19867467605217826
222-309_ABAB,-110301.74304211383,-110301.64335783063,-110295.23459364928,-110295.13546692736,0.09968428319552913,0.0991267219214933,0.19881100511702243
236-283_ABAB,-86415.48538671416,-86415.39099123576,-86409.75648892006,-86409.65057758352,0.09439547840156592,0.10591133653360885,0.20030681493517477
222-283_ABAB,-87495.6349662251,-87495.53611406605,-87489.54060537987,-87489.43874119261,0.09885215904796496,0.1018641872506123,0.20071634629857726
156-213_ABAB,-112206.68958666566,-112206.59443035694,-112201.6656136791,-112201.5598960876,0.09515630871464964,0.1057175915047992,0.20087390021944884
42-236_ABAB,-87497.773589794,-87497.67305896462,-87491.88421476136,-87491.78351658196,0.10053082938247826,0.10069817940529902,0.20122900878777727
201-258_ABAB,-118559.20880221957,-118559.11334930675,-118554.25200026488,-118554.14621328437,0.09545291282120161,0.10578698050812818,0.2012398933293298
161-283_ABAB,-77360.9268314672,-77360.83302429895,-77355.56384816112,-77355.45579828182,0.09380716824671254,0.10804987930168863,0.20185704754840117
115-283_ABAB,-82512.79104528246,-82512.6913501147,-82507.34634373806,-82507.24402729757,0.09969516775163356,0.10231644049054012,0.20201160824217368
36-110_ABAB,-105273.01340693064,-105272.9137177494,-105267.48991128334,-105267.38693551102,0.09968918123922776,0.10297577231540345,0.2026649535546312
44-258_ABAB,-111879.1562941212,-111879.0560065616,-111874.14296894961,-111874.0394769773,0.10028755960229319,0.10349197231698781,0.203779531919281
50-213_ABAB,-105601.67576161068,-105601.57330693636,-105595.71760109469,-105595.61607514494,0.1024546743137762,0.1015259497507941,0.2039806240645703
44-110_ABAB,-105065.8940976525,-105065.79364981785,-105060.52829742384,-105060.42443973053,0.10044783465855289,0.10385769330605399,0.20430552796460688
154-213_ABAB,-107860.6912039755,-107860.59357932204,-107855.54187113125,-107855.43350233452,0.09762465345556848,0.10836879673297517,0.20599345018854365
47-124_ABAB,-128016.69075775197,-128016.58830144498,-128011.12975039401,-128011.02560970231,0.10245630699500907,0.10414069170656148,0.20659699870157056
50-283_ABAB,-78440.76798271794,-78440.66900892401,-78434.56474367884,-78434.4568815581,0.09897379392350558,0.10786212074162904,0.20683591466513462
44-158_ABAB,-82514.80903561127,-82514.70626283585,-82509.64065806285,-82509.53634267402,0.10277277541172225,0.10431538883130997,0.20708816424303222
44-238_ABAB,-86793.79882750353,-86793.69592873943,-86788.66307939905,-86788.55829325327,0.10289876410388388,0.10478614577732515,0.20768490988120902
236-297_ABAB,-115330.84304928203,-115330.7489362578,-115324.60926192573,-115324.49546146441,0.09411302422813606,0.11380046131671406,0.20791348554485012
236-261_ABAB,-90563.48488535924,-90563.3900210287,-90557.612215668,-90557.49866473512,0.09486433054553345,0.1135509328887565,0.20841526343428995
197-236_ABAB,-91643.84905875073,-91643.7529571185,-91637.68040456569,-91637.56804875682,0.0961016322253272,0.11235580887296237,0.20845744109828956
249-258_ABAB,-140111.03656339203,-140110.93425293808,-140105.70960578285,-140105.6034158017,0.10231045394903049,0.10618998113204725,0.20850043508107774
158-213_ABAB,-109674.27224234525,-109674.17043230867,-109669.08444430344,-109668.97759607891,0.10181003657635301,0.10684822453185916,0.20865826110821217
154-176_ABAB,-84914.98818644388,-84914.89115499861,-84909.76007500723,-84909.6483997551,0.09703144527156837,0.11167525213386398,0.20870669740543235
47-245_ABAB,-107271.07666403684,-107270.98591134656,-107265.46263311822,-107265.34455557143,0.09075269027380273,0.11807754679466598,0.2088302370684687
161-236_ABAB,-87618.44050669395,-87618.34418220045,-87612.82212576331,-87612.70959634581,0.09632449349737726,0.11252941749989986,0.20885391099727713
44-176_ABAB,-80374.87445701702,-80374.77068830494,-80369.60496876462,-80369.49967567073,0.10376871208427474,0.10529309388948604,0.20906180597376078
115-147_ABAB,-87121.85816428516,-87121.75984927887,-87116.76127240584,-87116.65020832141,0.09831500629661605,0.1110640844271984,0.20937909072381444
112-176_ABAB,-114006.54935160819,-114006.44433715889,-114000.83898803267,-114000.73411426623,0.10501444930559956,0.10487376643868629,0.20988821574428584
37-222_ABAB,-86623.61705693293,-86623.51572527247,-86618.03495394874,-86617.92639576076,0.10133166045125108,0.10855818797426764,0.20988984842551872
176-213_ABAB,-107534.30544846438,-107534.20303351869,-107529.03477325135,-107528.92695140345,0.10241494569345377,0.107821847894229,0.21023679358768277
46-249_ABAB,-123922.06489289571,-123921.9590569347,-123915.90108886793,-123915.79648694323,0.10583596100332215,0.10460192470054608,0.21043788570386823
110-158_ABAB,-111419.73946549911,-111419.63669898231,-111414.31181950662,-111414.20408446304,0.1027665167930536,0.10773504358076025,0.21050156037381385
115-213_ABAB,-109673.84606171431,-109673.74333302137,-109668.59271688819,-109668.4849263334,0.102728692945675,0.10779055478633381,0.2105192477320088
