Cation Runtime (min),Neutral Runtime (min),Cation@Neutral Runtime (min),Neutral@Cation Runtime (min),Monomer 1,Monomer 2,Oligomer Length
163.76,73.94,13.280000000000001,7.54,83,99,2
82.52,73.94,34.78,35.26,32,78,2
69.5,52.739999999999995,22.939999999999998,20.3,26,83,2
87.64,25.9,8.34,29.38,47,94,2
64.48,43.3,34.3,10.36,1,45,2
118.25999999999999,62.42,28.82,5.04,62,84,2
62.66,60.339999999999996,11.9,5.26,19,94,2
84.44,68.12,37.3,17.18,29,32,2
84.9,34.42,37.18,13.4,39,50,2
122.4,28.28,13.26,28.099999999999998,78,83,2
73.74,52.08,15.78,32.72,50,98,2
38.6,36.96,27.979999999999997,17.2,4,91,2
126.74,86.92,31.2,15.719999999999999,22,81,2
37.6,35.44,25.02,20.02,59,91,2
87.18,52.72,33.08,36.04,30,59,2
79.14,124.2,36.44,29.9,65,71,2
124.8,65.58,30.779999999999998,35.199999999999996,94,95,2
45.7,42.24,10.02,22.66,12,27,2
115.42,80.19999999999999,9.42,37.52,29,72,2
95.5,54.76,32.66,9.08,25,34,2
86.16,52.16,10.280000000000001,18.5,8,97,2
101.78,331.1,43.67999999999999,24.4,12,67,2
90.82,46.44,7.74,22.04,82,94,2
144.07999999999998,61.739999999999995,38.6,28.34,69,77,2
143.8,37.88,33.42,10.34,34,80,2
48.86,25.9,24.479999999999997,31.179999999999996,21,36,2
214.46,122.97999999999999,21.2,16.52,86,96,2
136.51999999999998,67.94,37.22,33.32,63,89,2
115.53999999999999,71.9,26.3,29.639999999999997,30,82,2
191.06,88.66,39.48,22.02,30,99,2
55.7,44.4,19.54,28.96,24,62,2
120.38,108.17999999999999,37.72,22.34,38,46,2
88.84,42.46,21.58,3.9799999999999995,43,56,2
69.88,43.62,28.12,26.479999999999997,64,67,2
73.46000000000001,37.56,27.599999999999998,27.099999999999998,8,17,2
64.34,49.78,15.339999999999998,3.74,4,51,2
83.17999999999999,27.2,26.8,4.52,26,43,2
77.82,37.66,7.58,18.139999999999997,18,19,2
79.08,31.78,33.22,31.759999999999998,41,77,2
84.97999999999999,48.14,20.02,7.7,47,54,2
156.36,104.82,28.16,26.9,27,95,2
115.24,47.38,12.26,33.379999999999995,29,69,2
120.47999999999999,56.099999999999994,36.67999999999999,21.32,17,33,2
105.06,53.6,18.6,26.720000000000002,46,82,2
68.72,21.08,4.3,22.66,6,70,2
238.4,134.8,9.32,11.76,51,55,2
167.88,98.6,17.08,32.17999999999999,57,76,2
92.16,33.38,21.099999999999998,6.02,11,50,2
80.38,50.54,23.16,34.1,78,98,2
105.64,35.66,37.32,30.759999999999998,31,94,2
104.72,66.72,14.96,21.08,28,64,2
108.58,87.36,38.66,33.67999999999999,9,81,2
65.26,63.9,13.379999999999999,22.639999999999997,26,98,2
91.58,47.5,12.34,3.62,15,52,2
30.06,31.619999999999997,9.96,9.76,2,32,2
117.36,64.88,29.92,31.26,54,81,2
63.92,41.96,23.82,23.38,8,57,2
29.52,38.06,20.76,17.86,58,91,2
193.9,135.56,34.48,27.76,23,81,2
115.14,46.46,19.439999999999998,17.68,2,64,2
115.32,58.18,11.219999999999999,26.42,18,94,2
73.88,57.67999999999999,7.38,14.0,70,100,2
108.67999999999999,65.42,27.32,29.5,45,63,2
48.8,47.86,20.76,26.8,5,91,2
100.36,66.66,36.599999999999994,28.099999999999998,51,98,2
88.24,67.53999999999999,34.58,34.339999999999996,79,83,2
80.36,48.879999999999995,36.08,35.08,28,32,2
80.68,66.12,21.060000000000002,28.220000000000002,91,97,2
72.5,44.68,32.620000000000005,2.7800000000000002,6,66,2
260.96000000000004,103.0,29.92,35.18,26,55,2
38.38,48.88,5.84,5.24,14,49,2
64.42,53.08,25.86,22.479999999999997,3,29,2
507.5,47.739999999999995,9.34,24.639999999999997,6,26,2
170.18,91.7,27.419999999999998,17.52,17,65,2
81.8,71.62,17.98,10.32,31,82,2
378.42,100.1,26.7,19.28,25,79,2
102.06,79.66,30.220000000000002,19.939999999999998,94,98,2
84.78,29.68,25.42,29.679999999999996,3,69,2
127.64,41.2,34.44,18.02,57,60,2
45.0,49.0,10.059999999999999,16.96,15,44,2
121.1,64.24,38.019999999999996,19.38,54,97,2
69.88,47.58,13.139999999999999,19.48,8,41,2
67.8,53.22,32.84,33.76,15,100,2
57.1,40.46,4.0,33.339999999999996,27,58,2
127.02,75.16,8.48,11.36,28,72,2
81.94,50.54,37.82,14.48,53,62,2
149.86,65.08,18.5,36.12,96,100,2
79.08,36.32,10.919999999999998,7.819999999999999,34,56,2
99.44,43.8,12.899999999999999,36.5,49,65,2
78.74,127.53999999999999,36.019999999999996,11.18,32,75,2
92.38,43.44,16.98,32.26,24,34,2
181.74,193.88,33.56,12.38,26,95,2
106.0,44.9,36.0,33.67999999999999,61,65,2
86.74000000000001,42.12,33.739999999999995,15.839999999999998,47,82,2
64.9,71.02,21.02,12.56,14,89,2
152.48000000000002,58.68,22.7,32.8,16,33,2
60.44,55.839999999999996,36.42,30.879999999999995,27,43,2
100.92,45.04,30.7,5.72,46,54,2
95.56,69.0,8.2,4.26,22,97,2
65.72,45.0,31.66,33.92,65,67,2
80.94,60.56,15.1,37.82,18,54,2
67.52,28.98,26.42,32.86,51,58,2
139.6,58.64,31.0,7.7,5,51,2
71.82,36.34,34.98,19.24,12,31,2
151.92000000000002,105.36,40.82,25.639999999999997,23,41,2
168.06,70.9,20.7,2.48,62,92,2
85.25999999999999,69.62,39.76,6.48,31,99,2
64.6,57.279999999999994,21.36,27.7,39,46,2
208.42000000000002,86.28,29.96,36.5,78,95,2
132.64,68.86,19.619999999999997,24.86,52,74,2
98.14,65.0,13.780000000000001,24.02,54,57,2
91.82,50.92,29.84,31.52,15,84,2
67.12,71.22,25.3,8.96,74,93,2
98.6,43.66,12.18,3.0,51,83,2
69.78,38.08,25.979999999999997,30.439999999999998,79,98,2
49.760000000000005,77.75999999999999,22.0,27.099999999999998,30,94,2
157.72,95.38,32.760000000000005,27.62,56,76,2
255.07999999999998,138.57999999999998,22.299999999999997,29.279999999999998,50,55,2
167.34,113.9,33.34,23.7,11,86,2
51.56,23.6,17.24,3.9799999999999995,37,61,2
66.94,24.6,32.339999999999996,22.179999999999996,70,91,2
35.48,32.82,16.9,12.219999999999999,19,59,2
115.03999999999999,61.18,22.22,18.5,23,36,2
135.66,44.68,14.299999999999999,9.5,33,54,2
80.75999999999999,56.599999999999994,9.94,30.26,61,89,2
118.7,38.519999999999996,11.3,12.860000000000001,49,92,2
59.36,47.620000000000005,31.76,7.159999999999999,26,79,2
185.76,49.8,8.48,14.54,41,100,2
163.26,79.52,40.76,23.34,18,23,2
50.839999999999996,53.42,20.78,19.58,14,65,2
112.25999999999999,59.8,8.52,35.54,28,85,2
84.38,43.980000000000004,14.739999999999998,35.5,5,26,2
200.36,105.14,32.739999999999995,13.739999999999998,53,95,2
89.2,126.3,11.48,2.48,32,100,2
74.5,62.22,17.380000000000003,6.66,31,75,2
90.03999999999999,54.82,13.059999999999999,4.220000000000001,37,56,2
179.94,154.98,27.9,16.2,76,85,2
76.86,60.46,17.42,7.98,44,99,2
185.8,83.8,21.72,21.86,17,92,2
70.56,44.8,5.92,4.76,36,80,2
136.82,79.78,28.720000000000002,28.26,57,97,2
53.96,45.36,24.32,5.26,1,24,2
104.84,68.97999999999999,35.339999999999996,28.9,16,44,2
40.32,41.17999999999999,28.82,12.4,6,91,2
95.38,42.66,19.46,19.099999999999998,21,57,2
79.78,76.1,23.78,20.66,27,74,2
46.32,33.96,7.68,20.92,10,27,2
68.62,52.019999999999996,24.3,28.3,32,59,2
69.96000000000001,61.82,19.6,11.18,39,71,2
129.42000000000002,61.84,14.58,26.720000000000002,17,49,2
155.28,102.46000000000001,36.099999999999994,15.7,64,86,2
402.56,322.64,28.02,7.68,25,55,2
201.4,188.26,18.439999999999998,18.48,23,76,2
74.1,52.519999999999996,30.32,11.96,5,66,2
65.16,52.099999999999994,36.739999999999995,15.819999999999999,45,94,2
67.9,20.14,8.780000000000001,15.52,3,45,2
91.82,57.879999999999995,36.879999999999995,16.04,24,83,2
113.94,63.46,43.92,11.7,18,63,2
52.06,52.62,31.82,9.52,9,20,2
93.53999999999999,51.22,14.92,5.42,77,93,2
129.86,84.32,27.54,27.9,16,84,2
104.72,84.94,14.780000000000001,35.4,56,81,2
41.1,54.36,28.679999999999996,19.9,32,42,2
115.0,72.78,22.02,22.38,69,96,2
110.84,55.16,29.96,16.78,4,5,2
100.64,74.96000000000001,27.099999999999998,34.6,8,76,2
92.02,64.5,31.08,36.14,52,83,2
78.92,53.2,4.36,4.76,46,78,2
63.24,55.96,17.9,15.38,29,93,2
45.9,47.879999999999995,34.44,30.58,3,85,2
