Cation Runtime (s),Neutral Runtime (s),Cation@Neutral Runtime (s),Neutral@Cation Runtime (s),Monomer 1,Monomer 2,Oligomer Length
3.536,3.431,0.09,0.09,11,95,2
1.269,1.172,0.093,0.091,7,85,2
1.449,1.252,0.113,0.101,56,65,2
1.975,1.709,0.117,0.112,70,82,2
1.168,0.861,0.129,0.116,58,99,2
1.461,1.097,0.077,0.072,9,79,2
3.248,2.537,0.106,0.096,31,51,2
1.829,1.436,0.097,0.09,64,79,2
1.737,1.513,0.105,0.1,37,72,2
1.62,1.069,0.1,0.09,21,33,2
2.014,2.969,0.112,0.104,23,89,2
0.65,0.584,0.101,0.099,38,58,2
1.097,0.95,0.074,0.069,10,43,2
3.597,3.134,0.146,0.129,86,93,2
1.232,1.435,0.088,0.082,16,60,2
1.118,0.862,0.089,0.08,6,53,2
1.664,1.251,0.1,0.098,29,77,2
1.613,1.342,0.118,0.107,15,97,2
2.58,2.03,0.14,0.124,52,67,2
1.847,1.224,0.102,0.093,74,80,2
1.4,0.814,0.09,0.082,33,70,2
2.117,2.006,0.1,0.092,25,31,2
2.242,1.934,0.124,0.112,69,72,2
3.254,1.503,0.08,0.077,14,41,2
1.634,1.208,0.095,0.086,41,69,2
1.38,0.811,0.101,0.096,4,72,2
3.645,3.523,0.121,0.113,55,92,2
1.531,1.214,0.095,0.092,12,62,2
1.019,0.725,0.079,0.075,2,51,2
2.223,2.604,0.099,0.101,82,91,2
2.129,1.618,0.118,0.112,34,85,2
1.285,0.749,0.088,0.083,8,34,2
0.358,0.251,0.064,0.062,19,91,2
2.002,1.891,0.1,0.096,25,71,2
2.696,2.642,0.124,0.112,23,52,2
2.871,2.024,0.144,0.137,62,81,2
1.079,0.751,0.091,0.086,44,66,2
2.263,1.692,0.116,0.117,39,55,2
2.348,3.062,0.131,0.127,78,86,2
1.474,1.224,0.093,0.093,29,37,2
0.966,0.928,0.07,0.07,42,45,2
1.836,2.018,0.099,0.086,59,94,2
1.371,1.021,0.08,0.079,8,74,2
1.548,1.392,0.107,0.106,18,47,2
2.513,2.071,0.118,0.108,65,74,2
1.828,1.476,0.113,0.106,22,84,2
1.252,0.998,0.081,0.076,12,22,2
1.202,1.11,0.091,0.088,10,98,2
0.339,0.238,0.06,0.06,2,11,2
1.817,1.274,0.117,0.116,38,83,2
1.257,0.715,0.078,0.073,4,32,2
1.501,1.401,0.097,0.087,43,93,2
1.476,1.105,0.098,0.086,27,50,2
2.265,1.806,0.11,0.104,72,78,2
1.658,1.637,0.11,0.107,66,83,2
1.773,1.039,0.074,0.074,9,39,2
1.243,0.969,0.086,0.086,46,47,2
3.567,2.419,0.139,0.124,61,76,2
2.369,2.044,0.132,0.124,26,86,2
1.048,0.912,0.099,0.088,16,20,2
1.034,0.802,0.077,0.075,47,91,2
1.131,1.132,0.089,0.084,10,18,2
0.277,0.239,0.061,0.06,2,91,2
1.41,1.496,0.097,0.1,53,71,2
2.102,1.705,0.107,0.093,28,61,2
8.087,1.628,0.119,0.115,14,81,2
1.981,1.077,0.095,0.086,32,66,2
1.884,1.995,0.083,0.082,24,27,2
3.64,2.816,0.136,0.126,75,96,2
2.574,1.872,0.122,0.119,49,76,2
2.018,0.991,0.092,0.087,34,45,2
1.287,0.901,0.081,0.08,3,47,2
0.872,0.841,0.092,0.084,15,57,2
