Cation Runtime (min),Neutral Runtime (min),Cation@Neutral Runtime (min),Neutral@Cation Runtime (min),Monomer 1,Monomer 2,Oligomer Length
1180.0,545.0,42.0,20.0,43,292,6
4116.0,2631.0,131.0,49.0,110,259,6
3848.0,586.0,105.0,49.0,27,213,6
1597.0,1405.0,56.0,25.0,118,283,6
3325.0,2099.0,154.0,64.0,110,263,6
1904.0,960.0,52.0,24.0,109,193,6
2209.0,952.0,124.0,43.0,64,213,6
1567.0,605.0,70.0,23.0,57,166,6
2177.0,1134.0,114.0,53.0,110,121,6
879.0,600.0,25.0,10.0,59,150,6
1327.0,2407.0,52.0,22.0,136,286,6
1900.0,1403.0,114.0,43.0,136,213,6
5130.0,2291.0,128.0,44.0,206,284,6
1961.0,2165.0,93.0,50.0,58,213,6
2429.0,1121.0,55.0,29.0,93,133,6
3209.0,2050.0,134.0,57.0,110,163,6
863.0,534.0,43.0,19.0,18,144,6
1223.0,1820.0,89.0,32.0,167,254,6
22205.0,2698.0,99.0,44.0,150,213,6
1054.0,431.0,31.0,18.0,42,252,6
3742.0,3246.0,62.0,67.0,137,191,6
1006.0,465.0,39.0,14.0,58,222,6
788.0,418.0,36.0,15.0,46,222,6
1307.0,726.0,105.0,43.0,41,213,6
1915.0,1876.0,49.0,23.0,17,195,6
1268.0,535.0,46.0,18.0,29,297,6
3543.0,1776.0,106.0,42.0,213,267,6
909.0,487.0,50.0,22.0,78,292,6
3514.0,5479.0,80.0,39.0,239,304,6
3482.0,1458.0,145.0,51.0,213,271,6
1486.0,1653.0,47.0,18.0,30,102,6
3120.0,1971.0,114.0,57.0,213,305,6
1505.0,835.0,96.0,42.0,110,164,6
3135.0,2029.0,145.0,155.0,138,213,6
1975.0,1345.0,61.0,31.0,53,307,6
2418.0,1612.0,331.0,61.0,107,110,6
2694.0,1557.0,101.0,50.0,74,213,6
2202.0,1368.0,109.0,92.0,113,156,6
2231.0,1309.0,109.0,47.0,93,213,6
5796.0,3331.0,153.0,53.0,110,226,6
2228.0,1333.0,106.0,44.0,29,213,6
838.0,520.0,53.0,22.0,18,282,6
2669.0,1430.0,144.0,75.0,147,213,6
1578.0,826.0,59.0,31.0,106,292,6
522.0,375.0,34.0,17.0,15,176,6
4503.0,2444.0,120.0,127.0,213,247,6
1900.0,1156.0,110.0,45.0,51,213,6
695.0,263.0,28.0,14.0,1,137,6
2336.0,1515.0,120.0,59.0,213,234,6
4354.0,2104.0,146.0,62.0,213,251,6
4117.0,2175.0,97.0,38.0,30,213,6
1248.0,784.0,81.0,41.0,6,110,6
3465.0,27193.0,121.0,57.0,97,110,6
2638.0,2434.0,116.0,44.0,133,188,6
1223.0,1014.0,83.0,28.0,184,291,6
2711.0,957.0,94.0,41.0,5,213,6
2842.0,1640.0,92.0,79.0,163,204,6
1493.0,742.0,106.0,40.0,70,110,6
4263.0,3531.0,74.0,32.0,223,251,6
1344.0,827.0,118.0,45.0,110,312,6
2728.0,1222.0,64.0,27.0,285,292,6
2226.0,1146.0,103.0,52.0,61,213,6
1153.0,11639.0,56.0,22.0,192,311,6
2875.0,938.0,57.0,26.0,106,267,6
6109.0,1886.0,156.0,68.0,133,213,6
1663.0,1226.0,32.0,13.0,8,204,6
1854.0,981.0,106.0,47.0,43,213,6
4328.0,1624.0,121.0,51.0,213,231,6
